// crypto_solstice_equinox.csv

Symbol,Date,Price,Volume,Market Cap
LINK,2025-12-21,12.432073593139648,337431219.0,
XLM,2018-03-20,0.26796799898147583,88101600.0,
XLM,2018-06-21,0.22799700498580933,38175500.0,
XLM,2018-09-22,0.23922500014305115,76614200.0,
XLM,2018-12-21,0.11991599947214127,140455598.0,
XLM,2022-03-20,0.1969909965991974,249485637.0,
XLM,2022-06-21,0.11415000259876251,181843171.0,
XLM,2022-09-22,0.12302699685096741,260155342.0,
XLM,2022-12-21,0.07509200274944305,38734448.0,
XLM,2025-03-20,0.2811430096626282,215417439.0,
XLM,2025-06-20,0.24203400313854218,172146640.0,
XLM,2025-09-22,0.3686330020427704,395866195.0,
XLM,2025-12-21,0.2164659947156906,99264238.0,
