// forex_solstice_equinox.csv

Pair,Date,Rate,Change %
NZDCAD,2022-06-21,0.8224999904632568,0
NZDCAD,2022-09-22,0.7855740189552307,0
NZDCAD,2022-12-21,0.8626599907875061,0
NZDCAD,2025-03-20,0.8333899974822998,0
NZDCAD,2025-06-20,0.8216599822044373,0
NZDCAD,2025-09-22,0.8062800168991089,0
NZDCHF,2005-06-21,0.907509982585907,0
NZDCHF,2005-09-22,0.8867999911308289,0
NZDCHF,2005-12-21,0.8906000256538391,0
NZDCHF,2015-03-20,0.7350999712944031,0
NZDCHF,2015-09-23,0.6132000088691711,0
NZDCHF,2015-12-21,0.6669899821281433,0
NZDCHF,2018-03-20,0.6884999871253967,0
NZDCHF,2018-06-21,0.6837000250816345,0
NZDCHF,2018-12-21,0.6683499813079834,0
NZDCHF,2022-06-21,0.6128600239753723,0
NZDCHF,2022-09-22,0.5640900135040283,0
NZDCHF,2022-12-21,0.5875599980354309,0
NZDCHF,2025-03-20,0.5098000168800354,0
NZDCHF,2025-06-20,0.4893999993801117,0
NZDCHF,2025-09-22,0.46573999524116516,0
AUDNZD,2005-06-21,1.0859999656677246,0
AUDNZD,2005-09-22,1.0995999574661255,0
AUDNZD,2005-12-21,1.0816999673843384,0
AUDNZD,2015-03-20,1.0304299592971802,0
AUDNZD,2015-09-23,1.1253000497817993,0
AUDNZD,2015-12-21,1.0648399591445923,0
AUDNZD,2018-03-20,1.0633000135421753,0
AUDNZD,2018-06-21,1.073259949684143,0
AUDNZD,2018-12-21,1.0502599477767944,0
AUDNZD,2022-06-21,1.0996500253677368,0
AUDNZD,2022-09-22,1.1339999437332153,0
AUDNZD,2022-12-21,1.0542069673538208,0
AUDNZD,2025-03-20,1.0930700302124023,0
AUDNZD,2025-06-20,1.0808700323104858,0
AUDNZD,2025-09-22,1.1260900497436523,0
