// rates_macro_solstice_equinox.csv

Symbol,Date,Open,High,Low,Close,Volume
TLT,2005-06-21,48.786497132947986,49.034618377685554,48.75548345626331,49.03461837768555,503100.0
TLT,2005-09-22,48.78057113510937,48.822363603029395,48.65518177356161,48.74922180175781,761700.0
TLT,2005-12-21,47.901765320048504,47.92822322883991,47.77477623905196,47.8964729309082,193100.0
TLT,2015-03-20,98.05132937131276,98.40999587596092,97.99154972023764,98.26802062988281,5953800.0
TLT,2015-09-23,92.05267783233428,92.39327496411025,91.57583491833454,92.16620635986328,6769900.0
TLT,2015-12-21,94.01964344493044,94.28624582410708,93.63116237156102,93.84444427490234,7494900.0
TLT,2018-03-20,95.69005296875967,95.93951627620613,95.62567336052271,95.72223663330078,5446000.0
TLT,2018-06-21,97.50393868609855,97.81987817083653,97.39052482904347,97.6497573852539,7235800.0
TLT,2018-12-21,99.72706036559258,99.78468677987755,99.1096318064788,99.38130187988281,9945100.0
TLT,2022-06-21,96.33208669360305,97.1458651748767,96.08707926714675,96.41084289550781,17663800.0
TLT,2022-09-22,93.1177257713593,93.26736035629634,92.18470222352649,92.6600112915039,29030600.0
TLT,2022-12-21,92.68636079631754,92.78412238582139,91.5043392363336,92.16200256347656,15894100.0
TLT,2025-03-20,88.86518747699209,88.90374158735268,87.86281002139535,87.93991088867188,35645800.0
TLT,2025-06-20,83.94068355437703,84.5740893215034,83.75553223185965,84.28174591064453,26001900.0
TLT,2025-09-22,87.53880397781151,87.6275096710841,87.26284407757382,87.4205322265625,24758200.0
