date,body,status,sign,stationary,primary_scoring,bonus_eligible,influence_weight
2019-03-06,Mercury,starts,Pisces,False,True,,
2019-03-29,Mercury,ends,Pisces,False,True,,
2019-04-11,Jupiter,starts,Sagittarius,True,True,,
2019-04-25,Pluto,starts,Capricorn,True,False,True,95.0
2019-04-30,Saturn,starts,Capricorn,True,True,,
2019-06-22,Neptune,starts,Pisces,True,False,True,85.0
2019-07-08,Mercury,starts,Leo,False,True,,
2019-08-01,Mercury,ends,Cancer,False,True,,
2019-08-12,Jupiter,ends,Sagittarius,True,True,,
2019-08-12,Uranus,starts,Taurus,True,False,True,90.0
2019-09-18,Saturn,ends,Capricorn,True,True,,
2019-10-03,Pluto,ends,Capricorn,True,False,True,95.0
2019-11-01,Mercury,starts,Scorpio,False,True,,
2019-11-21,Mercury,ends,Scorpio,False,True,,
2019-11-28,Neptune,ends,Pisces,True,False,True,85.0
2020-01-11,Uranus,ends,Taurus,True,False,True,90.0
2020-02-17,Mercury,starts,Pisces,False,True,,
2020-03-10,Mercury,ends,Aquarius,False,True,,
2020-04-26,Pluto,starts,Capricorn,True,False,True,95.0
2020-05-11,Saturn,starts,Aquarius,True,True,,
2020-05-13,Venus,starts,Gemini,True,True,,
2020-05-15,Jupiter,starts,Capricorn,True,True,,
2020-06-18,Mercury,starts,Cancer,False,True,,
2020-06-23,Neptune,starts,Pisces,True,False,True,85.0
2020-06-25,Venus,ends,Gemini,True,True,,
2020-07-12,Mercury,ends,Cancer,False,True,,
2020-08-16,Uranus,starts,Taurus,True,False,True,90.0
2020-09-10,Mars,starts,Aries,True,True,,
2020-09-13,Jupiter,ends,Capricorn,True,True,,
2020-09-29,Saturn,ends,Capricorn,True,True,,
2020-10-05,Pluto,ends,Capricorn,True,False,True,95.0
2020-10-14,Mercury,starts,Scorpio,False,True,,
2020-11-04,Mercury,ends,Libra,False,True,,
2020-11-14,Mars,ends,Aries,True,True,,
2020-11-29,Neptune,ends,Pisces,True,False,True,85.0
2021-01-14,Uranus,ends,Taurus,True,False,True,90.0
