date,body,sign,from_sign,ruler,element
2016-09-06,Moon,Scorpio,Libra,Mars,water
2016-09-08,Moon,Sagittarius,Scorpio,Jupiter,fire
2016-09-09,Jupiter,Libra,Virgo,Venus,air
2016-09-11,Moon,Capricorn,Sagittarius,Saturn,earth
2016-09-13,Moon,Aquarius,Capricorn,Saturn,air
2016-09-15,Moon,Pisces,Aquarius,Jupiter,water
2016-09-17,Moon,Aries,Pisces,Mars,fire
2016-09-19,Moon,Taurus,Aries,Venus,earth
2016-09-21,Moon,Gemini,Taurus,Mercury,air
2016-09-23,Sun,Libra,Virgo,Venus,air
2016-09-23,Moon,Cancer,Gemini,Moon,water
2016-09-24,Venus,Scorpio,Libra,Mars,water
2016-09-26,Moon,Leo,Cancer,Sun,fire
2016-09-27,Mars,Capricorn,Sagittarius,Saturn,earth
2016-09-28,Moon,Virgo,Leo,Mercury,earth
2016-09-30,Moon,Libra,Virgo,Venus,air
2016-10-03,Moon,Scorpio,Libra,Mars,water
2016-10-05,Moon,Sagittarius,Scorpio,Jupiter,fire
2016-10-07,Mercury,Libra,Virgo,Venus,air
2016-10-08,Moon,Capricorn,Sagittarius,Saturn,earth
2016-10-10,Moon,Aquarius,Capricorn,Saturn,air
2016-10-13,Moon,Pisces,Aquarius,Jupiter,water
2016-10-15,Moon,Aries,Pisces,Mars,fire
2016-10-17,Moon,Taurus,Aries,Venus,earth
2016-10-18,Venus,Sagittarius,Scorpio,Jupiter,fire
2016-10-19,Moon,Gemini,Taurus,Mercury,air
2016-10-21,Moon,Cancer,Gemini,Moon,water
2016-10-23,Sun,Scorpio,Libra,Mars,water
2016-10-23,Moon,Leo,Cancer,Sun,fire
2016-10-25,Moon,Virgo,Leo,Mercury,earth
2016-10-25,Mercury,Scorpio,Libra,Mars,water
2016-10-28,Moon,Libra,Virgo,Venus,air
2016-10-30,Moon,Scorpio,Libra,Mars,water
2016-11-02,Moon,Sagittarius,Scorpio,Jupiter,fire
2016-11-04,Moon,Capricorn,Sagittarius,Saturn,earth
2016-11-07,Moon,Aquarius,Capricorn,Saturn,air
2016-11-09,Moon,Pisces,Aquarius,Jupiter,water
2016-11-09,Mars,Aquarius,Capricorn,Saturn,air
2016-11-11,Moon,Aries,Pisces,Mars,fire
2016-11-12,Venus,Capricorn,Sagittarius,Saturn,earth
2016-11-13,Moon,Taurus,Aries,Venus,earth
2016-11-13,Mercury,Sagittarius,Scorpio,Jupiter,fire
2016-11-15,Moon,Gemini,Taurus,Mercury,air
2016-11-17,Moon,Cancer,Gemini,Moon,water
2016-11-19,Moon,Leo,Cancer,Sun,fire
2016-11-21,Moon,Virgo,Leo,Mercury,earth
2016-11-22,Sun,Sagittarius,Scorpio,Jupiter,fire
2016-11-24,Moon,Libra,Virgo,Venus,air
2016-11-26,Moon,Scorpio,Libra,Mars,water
2016-11-29,Moon,Sagittarius,Scorpio,Jupiter,fire
2016-12-01,Moon,Capricorn,Sagittarius,Saturn,earth
2016-12-03,Mercury,Capricorn,Sagittarius,Saturn,earth
2016-12-04,Moon,Aquarius,Capricorn,Saturn,air
2016-12-06,Moon,Pisces,Aquarius,Jupiter,water
2016-12-08,Moon,Aries,Pisces,Mars,fire
2016-12-08,Venus,Aquarius,Capricorn,Saturn,air
2016-12-11,Moon,Taurus,Aries,Venus,earth
2016-12-13,Moon,Gemini,Taurus,Mercury,air
2016-12-15,Moon,Cancer,Gemini,Moon,water
2016-12-17,Moon,Leo,Cancer,Sun,fire
2016-12-19,Moon,Virgo,Leo,Mercury,earth
2016-12-19,Mars,Pisces,Aquarius,Jupiter,water
2016-12-21,Sun,Capricorn,Sagittarius,Saturn,earth
2016-12-21,Moon,Libra,Virgo,Venus,air
2016-12-24,Moon,Scorpio,Libra,Mars,water
2016-12-26,Moon,Sagittarius,Scorpio,Jupiter,fire
2016-12-29,Moon,Capricorn,Sagittarius,Saturn,earth
2016-12-31,Moon,Aquarius,Capricorn,Saturn,air
2017-01-02,Moon,Pisces,Aquarius,Jupiter,water
2017-01-03,Venus,Pisces,Aquarius,Jupiter,water
2017-01-05,Moon,Aries,Pisces,Mars,fire
2017-01-05,Mercury,Sagittarius,Capricorn,Jupiter,fire
2017-01-07,Moon,Taurus,Aries,Venus,earth
2017-01-09,Moon,Gemini,Taurus,Mercury,air
2017-01-11,Moon,Cancer,Gemini,Moon,water
2017-01-13,Moon,Leo,Cancer,Sun,fire
2017-01-13,Mercury,Capricorn,Sagittarius,Saturn,earth
2017-01-15,Moon,Virgo,Leo,Mercury,earth
2017-01-17,Moon,Libra,Virgo,Venus,air
2017-01-20,Sun,Aquarius,Capricorn,Saturn,air
2017-01-20,Moon,Scorpio,Libra,Mars,water
2017-01-22,Moon,Sagittarius,Scorpio,Jupiter,fire
2017-01-25,Moon,Capricorn,Sagittarius,Saturn,earth
2017-01-27,Moon,Aquarius,Capricorn,Saturn,air
2017-01-28,Mars,Aries,Pisces,Mars,fire
2017-01-30,Moon,Pisces,Aquarius,Jupiter,water
2017-02-01,Moon,Aries,Pisces,Mars,fire
2017-02-03,Moon,Taurus,Aries,Venus,earth
2017-02-04,Venus,Aries,Pisces,Mars,fire
2017-02-05,Moon,Gemini,Taurus,Mercury,air
2017-02-07,Moon,Cancer,Gemini,Moon,water
2017-02-07,Mercury,Aquarius,Capricorn,Saturn,air
2017-02-09,Moon,Leo,Cancer,Sun,fire
2017-02-12,Moon,Virgo,Leo,Mercury,earth
2017-02-14,Moon,Libra,Virgo,Venus,air
2017-02-16,Moon,Scorpio,Libra,Mars,water
2017-02-18,Sun,Pisces,Aquarius,Jupiter,water
2017-02-19,Moon,Sagittarius,Scorpio,Jupiter,fire
2017-02-21,Moon,Capricorn,Sagittarius,Saturn,earth
2017-02-24,Moon,Aquarius,Capricorn,Saturn,air
2017-02-26,Moon,Pisces,Aquarius,Jupiter,water
2017-02-26,Mercury,Pisces,Aquarius,Jupiter,water
2017-02-28,Moon,Aries,Pisces,Mars,fire
2017-03-02,Moon,Taurus,Aries,Venus,earth
2017-03-04,Moon,Gemini,Taurus,Mercury,air
2017-03-07,Moon,Cancer,Gemini,Moon,water
2017-03-09,Moon,Leo,Cancer,Sun,fire
2017-03-10,Mars,Taurus,Aries,Venus,earth
2017-03-11,Moon,Virgo,Leo,Mercury,earth
2017-03-13,Moon,Libra,Virgo,Venus,air
2017-03-14,Mercury,Aries,Pisces,Mars,fire
2017-03-16,Moon,Scorpio,Libra,Mars,water
2017-03-18,Moon,Sagittarius,Scorpio,Jupiter,fire
2017-03-20,Sun,Aries,Pisces,Mars,fire
2017-03-21,Moon,Capricorn,Sagittarius,Saturn,earth
2017-03-23,Moon,Aquarius,Capricorn,Saturn,air
2017-03-25,Moon,Pisces,Aquarius,Jupiter,water
2017-03-28,Moon,Aries,Pisces,Mars,fire
2017-03-30,Moon,Taurus,Aries,Venus,earth
2017-04-01,Moon,Gemini,Taurus,Mercury,air
2017-04-01,Mercury,Taurus,Aries,Venus,earth
2017-04-03,Moon,Cancer,Gemini,Moon,water
2017-04-03,Venus,Pisces,Aries,Jupiter,water
2017-04-05,Moon,Leo,Cancer,Sun,fire
2017-04-07,Moon,Virgo,Leo,Mercury,earth
2017-04-10,Moon,Libra,Virgo,Venus,air
2017-04-12,Moon,Scorpio,Libra,Mars,water
2017-04-14,Moon,Sagittarius,Scorpio,Jupiter,fire
2017-04-17,Moon,Capricorn,Sagittarius,Saturn,earth
2017-04-19,Moon,Aquarius,Capricorn,Saturn,air
2017-04-20,Sun,Taurus,Aries,Venus,earth
2017-04-21,Mercury,Aries,Taurus,Mars,fire
2017-04-21,Mars,Gemini,Taurus,Mercury,air
2017-04-22,Moon,Pisces,Aquarius,Jupiter,water
2017-04-24,Moon,Aries,Pisces,Mars,fire
2017-04-26,Moon,Taurus,Aries,Venus,earth
2017-04-28,Moon,Gemini,Taurus,Mercury,air
2017-04-29,Venus,Aries,Pisces,Mars,fire
2017-04-30,Moon,Cancer,Gemini,Moon,water
2017-05-02,Moon,Leo,Cancer,Sun,fire
2017-05-04,Moon,Virgo,Leo,Mercury,earth
2017-05-07,Moon,Libra,Virgo,Venus,air
2017-05-09,Moon,Scorpio,Libra,Mars,water
2017-05-12,Moon,Sagittarius,Scorpio,Jupiter,fire
2017-05-14,Moon,Capricorn,Sagittarius,Saturn,earth
2017-05-16,Mercury,Taurus,Aries,Venus,earth
2017-05-17,Moon,Aquarius,Capricorn,Saturn,air
2017-05-19,Moon,Pisces,Aquarius,Jupiter,water
2017-05-21,Sun,Gemini,Taurus,Mercury,air
2017-05-21,Moon,Aries,Pisces,Mars,fire
2017-05-24,Moon,Taurus,Aries,Venus,earth
2017-05-26,Moon,Gemini,Taurus,Mercury,air
2017-05-27,Moon,Cancer,Gemini,Moon,water
2017-05-30,Moon,Leo,Cancer,Sun,fire
2017-06-01,Moon,Virgo,Leo,Mercury,earth
2017-06-03,Moon,Libra,Virgo,Venus,air
2017-06-05,Moon,Scorpio,Libra,Mars,water
2017-06-05,Mars,Cancer,Gemini,Moon,water
2017-06-06,Venus,Taurus,Aries,Venus,earth
2017-06-07,Mercury,Gemini,Taurus,Mercury,air
2017-06-08,Moon,Sagittarius,Scorpio,Jupiter,fire
2017-06-10,Moon,Capricorn,Sagittarius,Saturn,earth
2017-06-13,Moon,Aquarius,Capricorn,Saturn,air
2017-06-15,Moon,Pisces,Aquarius,Jupiter,water
2017-06-18,Moon,Aries,Pisces,Mars,fire
2017-06-20,Moon,Taurus,Aries,Venus,earth
2017-06-21,Sun,Cancer,Gemini,Moon,water
2017-06-21,Mercury,Cancer,Gemini,Moon,water
2017-06-22,Moon,Gemini,Taurus,Mercury,air
2017-06-24,Moon,Cancer,Gemini,Moon,water
2017-06-26,Moon,Leo,Cancer,Sun,fire
2017-06-28,Moon,Virgo,Leo,Mercury,earth
2017-06-30,Moon,Libra,Virgo,Venus,air
2017-07-03,Moon,Scorpio,Libra,Mars,water
2017-07-05,Moon,Sagittarius,Scorpio,Jupiter,fire
2017-07-05,Venus,Gemini,Taurus,Mercury,air
2017-07-06,Mercury,Leo,Cancer,Sun,fire
2017-07-08,Moon,Capricorn,Sagittarius,Saturn,earth
2017-07-10,Moon,Aquarius,Capricorn,Saturn,air
2017-07-13,Moon,Pisces,Aquarius,Jupiter,water
2017-07-15,Moon,Aries,Pisces,Mars,fire
2017-07-17,Moon,Taurus,Aries,Venus,earth
2017-07-19,Moon,Gemini,Taurus,Mercury,air
2017-07-21,Moon,Cancer,Gemini,Moon,water
2017-07-21,Mars,Leo,Cancer,Sun,fire
2017-07-23,Sun,Leo,Cancer,Sun,fire
2017-07-23,Moon,Leo,Cancer,Sun,fire
2017-07-25,Moon,Virgo,Leo,Mercury,earth
2017-07-26,Mercury,Virgo,Leo,Mercury,earth
2017-07-28,Moon,Libra,Virgo,Venus,air
2017-07-30,Moon,Scorpio,Libra,Mars,water
2017-08-01,Venus,Cancer,Gemini,Moon,water
2017-08-02,Moon,Sagittarius,Scorpio,Jupiter,fire
2017-08-04,Moon,Capricorn,Sagittarius,Saturn,earth
2017-08-07,Moon,Aquarius,Capricorn,Saturn,air
2017-08-09,Moon,Pisces,Aquarius,Jupiter,water
2017-08-11,Moon,Aries,Pisces,Mars,fire
2017-08-13,Moon,Taurus,Aries,Venus,earth
2017-08-16,Moon,Gemini,Taurus,Mercury,air
2017-08-18,Moon,Cancer,Gemini,Moon,water
2017-08-20,Moon,Leo,Cancer,Sun,fire
2017-08-22,Moon,Virgo,Leo,Mercury,earth
2017-08-23,Sun,Virgo,Leo,Mercury,earth
2017-08-24,Moon,Libra,Virgo,Venus,air
2017-08-26,Moon,Scorpio,Libra,Mars,water
2017-08-26,Venus,Leo,Cancer,Sun,fire
2017-08-29,Moon,Sagittarius,Scorpio,Jupiter,fire
2017-08-31,Moon,Capricorn,Sagittarius,Saturn,earth
2017-09-01,Mercury,Leo,Virgo,Sun,fire
2017-09-03,Moon,Aquarius,Capricorn,Saturn,air
2017-09-05,Moon,Pisces,Aquarius,Jupiter,water
2017-09-05,Mars,Virgo,Leo,Mercury,earth
2017-09-08,Moon,Aries,Pisces,Mars,fire
2017-09-10,Moon,Taurus,Aries,Venus,earth
2017-09-10,Mercury,Virgo,Leo,Mercury,earth
2017-09-12,Moon,Gemini,Taurus,Mercury,air
2017-09-14,Moon,Cancer,Gemini,Moon,water
2017-09-16,Moon,Leo,Cancer,Sun,fire
2017-09-18,Moon,Virgo,Leo,Mercury,earth
2017-09-20,Moon,Libra,Virgo,Venus,air
2017-09-20,Venus,Virgo,Leo,Mercury,earth
2017-09-23,Sun,Libra,Virgo,Venus,air
2017-09-23,Moon,Scorpio,Libra,Mars,water
2017-09-25,Moon,Sagittarius,Scorpio,Jupiter,fire
2017-09-28,Moon,Capricorn,Sagittarius,Saturn,earth
2017-09-30,Moon,Aquarius,Capricorn,Saturn,air
2017-09-30,Mercury,Libra,Virgo,Venus,air
2017-10-03,Moon,Pisces,Aquarius,Jupiter,water
2017-10-05,Moon,Aries,Pisces,Mars,fire
2017-10-07,Moon,Taurus,Aries,Venus,earth
2017-10-09,Moon,Gemini,Taurus,Mercury,air
2017-10-11,Moon,Cancer,Gemini,Moon,water
2017-10-11,Jupiter,Scorpio,Libra,Mars,water
2017-10-13,Moon,Leo,Cancer,Sun,fire
2017-10-14,Venus,Libra,Virgo,Venus,air
2017-10-15,Moon,Virgo,Leo,Mercury,earth
2017-10-17,Mercury,Scorpio,Libra,Mars,water
2017-10-18,Moon,Libra,Virgo,Venus,air
2017-10-20,Moon,Scorpio,Libra,Mars,water
2017-10-22,Moon,Sagittarius,Scorpio,Jupiter,fire
2017-10-23,Sun,Scorpio,Libra,Mars,water
2017-10-23,Mars,Libra,Virgo,Venus,air
2017-10-25,Moon,Capricorn,Sagittarius,Saturn,earth
2017-10-28,Moon,Aquarius,Capricorn,Saturn,air
2017-10-30,Moon,Pisces,Aquarius,Jupiter,water
2017-11-01,Moon,Aries,Pisces,Mars,fire
2017-11-03,Moon,Taurus,Aries,Venus,earth
2017-11-05,Moon,Gemini,Taurus,Mercury,air
2017-11-06,Mercury,Sagittarius,Scorpio,Jupiter,fire
2017-11-07,Moon,Cancer,Gemini,Moon,water
2017-11-07,Venus,Scorpio,Libra,Mars,water
2017-11-10,Moon,Leo,Cancer,Sun,fire
2017-11-12,Moon,Virgo,Leo,Mercury,earth
2017-11-14,Moon,Libra,Virgo,Venus,air
2017-11-16,Moon,Scorpio,Libra,Mars,water
2017-11-19,Moon,Sagittarius,Scorpio,Jupiter,fire
2017-11-21,Moon,Capricorn,Sagittarius,Saturn,earth
2017-11-22,Sun,Sagittarius,Scorpio,Jupiter,fire
2017-11-24,Moon,Aquarius,Capricorn,Saturn,air
2017-11-26,Moon,Pisces,Aquarius,Jupiter,water
2017-11-29,Moon,Aries,Pisces,Mars,fire
2017-12-01,Moon,Taurus,Aries,Venus,earth
2017-12-01,Venus,Sagittarius,Scorpio,Jupiter,fire
2017-12-03,Moon,Gemini,Taurus,Mercury,air
2017-12-05,Moon,Cancer,Gemini,Moon,water
2017-12-07,Moon,Leo,Cancer,Sun,fire
2017-12-09,Moon,Virgo,Leo,Mercury,earth
2017-12-09,Mars,Scorpio,Libra,Mars,water
2017-12-11,Moon,Libra,Virgo,Venus,air
2017-12-14,Moon,Scorpio,Libra,Mars,water
2017-12-16,Moon,Sagittarius,Scorpio,Jupiter,fire
2017-12-19,Moon,Capricorn,Sagittarius,Saturn,earth
2017-12-20,Saturn,Capricorn,Sagittarius,Saturn,earth
2017-12-21,Moon,Aquarius,Capricorn,Saturn,air
2017-12-22,Sun,Capricorn,Sagittarius,Saturn,earth
2017-12-24,Moon,Pisces,Aquarius,Jupiter,water
2017-12-25,Venus,Capricorn,Sagittarius,Saturn,earth
2017-12-26,Moon,Aries,Pisces,Mars,fire
2017-12-28,Moon,Taurus,Aries,Venus,earth
2017-12-30,Moon,Gemini,Taurus,Mercury,air
2018-01-01,Moon,Cancer,Gemini,Moon,water
2018-01-03,Moon,Leo,Cancer,Sun,fire
2018-01-05,Moon,Virgo,Leo,Mercury,earth
2018-01-08,Moon,Libra,Virgo,Venus,air
2018-01-10,Moon,Scorpio,Libra,Mars,water
2018-01-11,Mercury,Capricorn,Sagittarius,Saturn,earth
2018-01-12,Moon,Sagittarius,Scorpio,Jupiter,fire
2018-01-15,Moon,Capricorn,Sagittarius,Saturn,earth
2018-01-17,Moon,Aquarius,Capricorn,Saturn,air
2018-01-18,Venus,Aquarius,Capricorn,Saturn,air
2018-01-20,Sun,Aquarius,Capricorn,Saturn,air
2018-01-20,Moon,Pisces,Aquarius,Jupiter,water
2018-01-22,Moon,Aries,Pisces,Mars,fire
2018-01-25,Moon,Taurus,Aries,Venus,earth
2018-01-27,Moon,Gemini,Taurus,Mercury,air
2018-01-27,Mars,Sagittarius,Scorpio,Jupiter,fire
2018-01-29,Moon,Cancer,Gemini,Moon,water
2018-01-31,Moon,Leo,Cancer,Sun,fire
2018-02-01,Mercury,Aquarius,Capricorn,Saturn,air
2018-02-02,Moon,Virgo,Leo,Mercury,earth
2018-02-04,Moon,Libra,Virgo,Venus,air
2018-02-06,Moon,Scorpio,Libra,Mars,water
2018-02-09,Moon,Sagittarius,Scorpio,Jupiter,fire
2018-02-11,Moon,Capricorn,Sagittarius,Saturn,earth
2018-02-11,Venus,Pisces,Aquarius,Jupiter,water
2018-02-14,Moon,Aquarius,Capricorn,Saturn,air
2018-02-16,Moon,Pisces,Aquarius,Jupiter,water
2018-02-18,Mercury,Pisces,Aquarius,Jupiter,water
2018-02-19,Sun,Pisces,Aquarius,Jupiter,water
2018-02-19,Moon,Aries,Pisces,Mars,fire
