date,body,sign,from_sign,ruler,element
2018-06-18,Moon,Virgo,Leo,Mercury,earth
2018-06-21,Sun,Cancer,Gemini,Moon,water
2018-06-21,Moon,Libra,Virgo,Venus,air
2018-06-23,Moon,Scorpio,Libra,Mars,water
2018-06-25,Moon,Sagittarius,Scorpio,Jupiter,fire
2018-06-28,Moon,Capricorn,Sagittarius,Saturn,earth
2018-06-29,Mercury,Leo,Cancer,Sun,fire
2018-06-30,Moon,Aquarius,Capricorn,Saturn,air
2018-07-03,Moon,Pisces,Aquarius,Jupiter,water
2018-07-05,Moon,Aries,Pisces,Mars,fire
2018-07-08,Moon,Taurus,Aries,Venus,earth
2018-07-10,Moon,Gemini,Taurus,Mercury,air
2018-07-10,Venus,Virgo,Leo,Mercury,earth
2018-07-12,Moon,Cancer,Gemini,Moon,water
2018-07-14,Moon,Leo,Cancer,Sun,fire
2018-07-16,Moon,Virgo,Leo,Mercury,earth
2018-07-18,Moon,Libra,Virgo,Venus,air
2018-07-20,Moon,Scorpio,Libra,Mars,water
2018-07-22,Moon,Sagittarius,Scorpio,Jupiter,fire
2018-07-23,Sun,Leo,Cancer,Sun,fire
2018-07-25,Moon,Capricorn,Sagittarius,Saturn,earth
2018-07-27,Moon,Aquarius,Capricorn,Saturn,air
